Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days,total_valid_days,Log_NR,NORD_CHTOPO,OST_CHTOPO
Schlossmatte Familiengarten,19.90620661779618,26.714244296940567,15.247241019466241,13.738176546883345,21.94079744246146,0.27543366510956846,0.46748151765284485,-0.18584864261736378,0,14,91,33,7,124,59,46.94211,7.41688
Westside Center,19.872049618475476,26.99796587393587,15.446719984628366,13.872162966353857,21.79475693087009,0.21153540634007373,0.3054644225814916,0.024360433580436058,1,13,91,33,7,124,61,46.94555,7.37478
Felsenhaldenweg,20.034606677621742,27.386312657358662,15.305666431373174,14.136226443884947,22.1955958188023,0.4060089546930028,0.7183609447990262,-0.13409660031815554,0,10,94,36,9,54,62,46.97417,7.44122
Ostermundigen Rorswil,19.5026847666855,26.2727993167896,14.917404965918813,13.476655222400243,21.47202376904227,-0.15112745565000715,-0.004980009417629337,-0.511407984045594,0,21,85,26,7,124,65,46.96681,7.50376
Eisenbahnquartier,20.510582354626663,28.118427237846312,15.766158315163546,14.391723506523231,22.55318246993991,0.8852182722736988,1.1055695848491518,0.36307891925404373,2,10,96,47,10,124,69,46.93716,7.42317
Bundesplatz,20.94241619744943,26.858271152819103,17.15075575091693,15.54522011139086,22.634525676976835,1.3508669593685347,1.191274407516638,1.8143790984623656,8,5,91,34,8,125,70,46.94692,7.44353
Hirschengraben,20.61387343002504,26.731996643015183,16.959407041956144,15.474338902876326,22.255928881713245,1.007979223949238,0.7920795184628967,1.6188784399216967,9,6,91,33,8,124,71,46.94658,7.43786
Obstberg,20.43106482140134,26.696876478217746,16.358193188960275,14.906477454795148,22.2308521218726,0.8196218264173436,0.7690716015372178,0.9928533138270903,4,8,92,34,7,124,73,46.94714,7.46407
Wabern Viktoriastrasse,20.67148255936274,27.91629834544847,15.91726330673252,14.476025091139485,22.75480976985149,0.5308409241268607,0.7094021990161211,0.08332986254660364,0,5,94,36,9,114,76,46.93122,7.45326
Dalmazibrucke,20.591605306303126,27.087598624583336,16.53034767796119,15.297418239838652,22.393524862065146,0.4418865757508688,0.34811729122977725,0.6964142337752708,2,1,87,27,8,115,78,46.94445,7.44571
Umland Belp,19.617181838481706,26.501435455567943,14.647726231850935,13.025711451895933,21.73381813199434,-0.04691044036823842,0.25112996223878387,-0.8144725448241033,0,29,87,29,6,122,79,46.89942,7.51184
Elfenau,20.29609522482115,27.603527885862515,15.647302176072435,14.254981307698177,22.3301141484251,0.6738479362406097,0.8662737363022603,0.23764928536430996,2,9,97,39,9,124,80,46.93558,7.4695
Thunplatz,20.743458978049404,27.701496910048068,16.27756077553614,14.822970931563287,22.71486279715755,1.1412660617013282,1.267806666201871,0.9011426048278813,4,8,95,44,9,124,82,46.94059,7.45824
Stadtlabor,20.710625110745248,27.07379873350118,16.606785240306422,15.218905928130008,22.508100073425762,1.111113030954592,1.0560218066375582,1.2542002661845408,8,6,93,35,8,124,83,46.96311,7.46257
Ostermundigen Lotschenstrasse,20.57353374545578,27.3057755397879,16.251668744991914,14.79972838941024,22.467856120742123,0.9706083082388139,1.0138304828279505,0.8784931157087137,4,9,94,37,9,124,86,46.95309,7.48719
Engehalde Stauwehr,19.759884806936423,27.1467948424506,15.445954084250967,14.395184252689402,21.62695436135366,0.0898374799648807,0.09937948899742556,0.023494227999855007,0,8,95,32,6,124,87,46.96546,7.44503
Gurten Kulm,16.27501865384074,21.075081022089094,13.748714752833852,12.391374837872892,17.415092271344516,-1.3408033527407506,-1.9757715931214932,0.43124629264192094,0,6,5,0,0,42,89,46.91833,7.43971
Zollikofen 2m,19.614202631764368,26.004258989901974,15.209577479117886,13.644127565423057,21.49766229653625,-0.03175472201784219,0.021246760717887423,-0.19075949711624815,0,15,82,27,5,124,98,46.99079,7.46407
Zollikofen 3m,20.16848346015225,26.547583269477645,15.833933444185917,14.2213918218277,22.04540757083537,0,0,0,1,7,78,24,5,114,99,46.99079,7.46407
